id	observed	expected
G004962305	p__	p__Proteobacteria
G000144735	p__	p__Terrabacteria_group
G000020385	p__	p__Proteobacteria
G001720165	p__	p__Proteobacteria
G001791195	p__	p__Parcubacteria_group
G000164635	p__	p__Proteobacteria
G012033195	p__	p__Terrabacteria_group
G000025705	p__	p__Proteobacteria
G000756815	p__	p__Proteobacteria
G000242915	p__	p__Proteobacteria
G902529795	p__	p__Proteobacteria
G902628925	p__	p__SAR86_cluster
G000445105	p__	p__Proteobacteria
G000698595	p__	p__Proteobacteria
G000715895	p__	p__Terrabacteria_group
G000312245	p__	p__Terrabacteria_group
G001768645	p__	p__Terrabacteria_group
G000317515	p__	p__Terrabacteria_group
G001431405	p__	p__Proteobacteria
G009867145	p__	p__Proteobacteria
G002018015	p__	p__Terrabacteria_group
G012512505	p__	p__Terrabacteria_group
G005881575	p__	p__Proteobacteria
G900100495	p__	p__Proteobacteria
G001262595	p__	p__Proteobacteria
G001429685	p__	p__Terrabacteria_group
G000324485	p__	p__Proteobacteria
G001705755	p__	p__Proteobacteria
G001007625	p__	p__Terrabacteria_group
G001562845	p__	p__Terrabacteria_group
G000763535	p__	p__Proteobacteria
G001552855	p__	p__Terrabacteria_group
G011775155	p__	p__Proteobacteria
G009839725	p__	p__Terrabacteria_group
G012959315	p__	p__Terrabacteria_group
G002697205	p__	p__Proteobacteria
G902520055	p__	p__Proteobacteria
G002355955	p__	p__Proteobacteria
G000953875	p__	p__Proteobacteria
G008641065	p__	p__Proteobacteria
G002109495	p__	p__Proteobacteria
G002162985	p__	p__Proteobacteria
G000430805	p__	p__Proteobacteria
G002094885	p__	p__Proteobacteria
G000379645	p__	p__Terrabacteria_group
G000017305	p__	p__Terrabacteria_group
G900188465	p__	p__Terrabacteria_group
G001799095	p__	p__Proteobacteria
G000784965	p__	p__Proteobacteria
G003258725	p__	p__Terrabacteria_group
G001577775	p__	p__Euryarchaeota
G900079685	p__	p__Proteobacteria
G000576125	p__	p__Proteobacteria
G001303045	p__	p__Proteobacteria
