G003663445	G003663445_ARCH_DPANN
G003663475	G003663475_ARCH_DPANN
G003693875	G003693875_ARCH_DPANN
G003694055	G003694055_ARCH_DPANN
G003694385	G003694385_ARCH_DPANN
G003694495	G003694495_ARCH_DPANN
G003694525	G003694525_ARCH_DPANN
G003694805	G003694805_ARCH_DPANN
G003694965	G003694965_ARCH_DPANN
G003695045	G003695045_ARCH_DPANN
G003695265	G003695265_ARCH_DPANN
G003695435	G003695435_ARCH_DPANN
G004195435	G004195435_ARCH_DPANN
G004297575	G004297575_ARCH_DPANN
G005222965	G005222965_ARCH_DPANN
G005239615	G005239615_ARCH_DPANN
G005239845	G005239845_ARCH_DPANN
G007116295	G007116295_ARCH_DPANN
G007116645	G007116645_ARCH_DPANN
G007116795	G007116795_ARCH_DPANN
G007117065	G007117065_ARCH_DPANN
G007117145	G007117145_ARCH_DPANN
G007117405	G007117405_ARCH_DPANN
G007117735	G007117735_ARCH_DPANN
G007117755	G007117755_ARCH_DPANN
G007128245	G007128245_ARCH_DPANN
G007131205	G007131205_ARCH_DPANN
G007133845	G007133845_ARCH_DPANN
G009387755	G009387755_ARCH_DPANN
G009392915	G009392915_ARCH_DPANN
G009617975	G009617975_ARCH_DPANN
G009691355	G009691355_ARCH_DPANN
G009694725	G009694725_ARCH_DPANN
G009694755	G009694755_ARCH_DPANN
G009992175	G009992175_ARCH_DPANN
G009992215	G009992215_ARCH_DPANN
G009992305	G009992305_ARCH_DPANN
G009992365	G009992365_ARCH_DPANN
G009992385	G009992385_ARCH_DPANN
G009993355	G009993355_ARCH_DPANN
G009993405	G009993405_ARCH_DPANN
G009993835	G009993835_ARCH_DPANN
G009993905	G009993905_ARCH_DPANN
G009994485	G009994485_ARCH_DPANN
G009995005	G009995005_ARCH_DPANN
G009995015	G009995015_ARCH_DPANN
G009995085	G009995085_ARCH_DPANN
G011039365	G011039365_ARCH_DPANN
G011045925	G011045925_ARCH_DPANN
G011047985	G011047985_ARCH_DPANN
G011050875	G011050875_ARCH_DPANN
G011329125	G011329125_ARCH_DPANN
G011331665	G011331665_ARCH_DPANN
G011331795	G011331795_ARCH_DPANN
G011332735	G011332735_ARCH_DPANN
G011333035	G011333035_ARCH_DPANN
G011333755	G011333755_ARCH_DPANN
G011333955	G011333955_ARCH_DPANN
G011333975	G011333975_ARCH_DPANN
G011334385	G011334385_ARCH_DPANN
G011334515	G011334515_ARCH_DPANN
G011334955	G011334955_ARCH_DPANN
G011335015	G011335015_ARCH_DPANN
G011335085	G011335085_ARCH_DPANN
G011358415	G011358415_ARCH_DPANN
G011358475	G011358475_ARCH_DPANN
G011358535	G011358535_ARCH_DPANN
G011358645	G011358645_ARCH_DPANN
G011362825	G011362825_ARCH_DPANN
G011362975	G011362975_ARCH_DPANN
G011363135	G011363135_ARCH_DPANN
G011364745	G011364745_ARCH_DPANN
G011366705	G011366705_ARCH_DPANN
G011368255	G011368255_ARCH_DPANN
G011371765	G011371765_ARCH_DPANN
G011372335	G011372335_ARCH_DPANN
G011373045	G011373045_ARCH_DPANN
G011380495	G011380495_ARCH_DPANN
G011389055	G011389055_ARCH_DPANN
G011772255	G011772255_ARCH_DPANN
G011772645	G011772645_ARCH_DPANN
G011772995	G011772995_ARCH_DPANN
G011773475	G011773475_ARCH_DPANN
G012798335	G012798335_ARCH_DPANN
G012799645	G012799645_ARCH_DPANN
G012960605	G012960605_ARCH_DPANN
G013328975	G013328975_ARCH_DPANN
G013328985	G013328985_ARCH_DPANN
G013329035	G013329035_ARCH_DPANN
G013329045	G013329045_ARCH_DPANN
G013329055	G013329055_ARCH_DPANN
G013329155	G013329155_ARCH_DPANN
G013329175	G013329175_ARCH_DPANN
G013329215	G013329215_ARCH_DPANN
G013329235	G013329235_ARCH_DPANN
G013330065	G013330065_ARCH_DPANN
G013330075	G013330075_ARCH_DPANN
G013330115	G013330115_ARCH_DPANN
G013330215	G013330215_ARCH_DPANN
G013330455	G013330455_ARCH_DPANN
G013330465	G013330465_ARCH_DPANN
G013330485	G013330485_ARCH_DPANN
G013330555	G013330555_ARCH_DPANN
G013330595	G013330595_ARCH_DPANN
G013330615	G013330615_ARCH_DPANN
G013330725	G013330725_ARCH_DPANN
G013330745	G013330745_ARCH_DPANN
G013330755	G013330755_ARCH_DPANN
G013330825	G013330825_ARCH_DPANN
G013330855	G013330855_ARCH_DPANN
G013330865	G013330865_ARCH_DPANN
G013330875	G013330875_ARCH_DPANN
G013331045	G013331045_ARCH_DPANN
G013331095	G013331095_ARCH_DPANN
G013331125	G013331125_ARCH_DPANN
G013331455	G013331455_ARCH_DPANN
G013331515	G013331515_ARCH_DPANN
G013331535	G013331535_ARCH_DPANN
G013331555	G013331555_ARCH_DPANN
G013331575	G013331575_ARCH_DPANN
G013331595	G013331595_ARCH_DPANN
G013331615	G013331615_ARCH_DPANN
G013331625	G013331625_ARCH_DPANN
G013331635	G013331635_ARCH_DPANN
G013331675	G013331675_ARCH_DPANN
G013331695	G013331695_ARCH_DPANN
G013331705	G013331705_ARCH_DPANN
G013331725	G013331725_ARCH_DPANN
G013331745	G013331745_ARCH_DPANN
G013331775	G013331775_ARCH_DPANN
G013331795	G013331795_ARCH_DPANN
G013331805	G013331805_ARCH_DPANN
G013331825	G013331825_ARCH_DPANN
G013331835	G013331835_ARCH_DPANN
G013331845	G013331845_ARCH_DPANN
G013331915	G013331915_ARCH_DPANN
G013331925	G013331925_ARCH_DPANN
G013331935	G013331935_ARCH_DPANN
G013331945	G013331945_ARCH_DPANN
G013331965	G013331965_ARCH_DPANN
G013332015	G013332015_ARCH_DPANN
G013332025	G013332025_ARCH_DPANN
G013332035	G013332035_ARCH_DPANN
G902384555	G902384555_ARCH_DPANN
G902384585	G902384585_ARCH_DPANN
G902384795	G902384795_ARCH_DPANN
G902384935	G902384935_ARCH_DPANN
G902385045	G902385045_ARCH_DPANN
G902385155	G902385155_ARCH_DPANN
G902385225	G902385225_ARCH_DPANN
G902385255	G902385255_ARCH_DPANN
G902385515	G902385515_ARCH_DPANN
G902385625	G902385625_ARCH_DPANN
G902385635	G902385635_ARCH_DPANN
G902385655	G902385655_ARCH_DPANN
G902385765	G902385765_ARCH_DPANN
G902386025	G902386025_ARCH_DPANN
G902386385	G902386385_ARCH_DPANN
G902386535	G902386535_ARCH_DPANN
G902386555	G902386555_ARCH_DPANN
G902529885	G902529885_ARCH_DPANN
G002286985	G002286985_ARCH_REG
G004114995	G004114995_ARCH_REG
G000337915	G000337915_ARCH_REG
G007671685	G007671685_ARCH_REG
G002727125	G002727125_ARCH_REG
G000739595	G000739595_ARCH_REG
G003781945	G003781945_ARCH_REG
G000022205	G000022205_ARCH_REG
G000337375	G000337375_ARCH_REG
G000337355	G000337355_ARCH_REG
G003990725	G003990725_ARCH_REG
G002252755	G002252755_ARCH_REG
G007671725	G007671725_ARCH_REG
G003721435	G003721435_ARCH_REG
G001261915	G001261915_ARCH_REG
G000336995	G000336995_ARCH_REG
G001564205	G001564205_ARCH_REG
G000746205	G000746205_ARCH_REG
G000337035	G000337035_ARCH_REG
G002114285	G002114285_ARCH_REG
G001280455	G001280455_ARCH_REG
G000336875	G000336875_ARCH_REG
G005435165	G005435165_ARCH_REG
G000296615	G000296615_ARCH_REG
G003666015	G003666015_ARCH_REG
G002355655	G002355655_ARCH_REG
G000337335	G000337335_ARCH_REG
G900102375	G900102375_ARCH_REG
G900111935	G900111935_ARCH_REG
G000337075	G000337075_ARCH_REG
G000337415	G000337415_ARCH_REG
G003023405	G003023405_ARCH_REG
