id	observed	expected
G000426765	p__	p__Proteobacteria
G001464125	p__	p__Proteobacteria
G001870005	p__	p__Terrabacteria_group
G000208405	p__	p__Terrabacteria_group
G900141895	p__	p__Terrabacteria_group
G000145555	p__	p__Terrabacteria_group
G001310455	p__	p__Proteobacteria
G000349725	p__	p__Terrabacteria_group
G000380005	p__	p__Terrabacteria_group
G000007465	p__	p__Terrabacteria_group
G001696705	p__	p__Terrabacteria_group
G000971975	p__	p__Terrabacteria_group
G001012675	p__	p__Terrabacteria_group
G001914715	p__	p__Terrabacteria_group
G000403495	p__	p__Terrabacteria_group
G000009365	p__	p__Proteobacteria
G001436865	p__	p__Terrabacteria_group
G000612625	p__	p__Terrabacteria_group
G000317435	p__	p__Terrabacteria_group
G000428785	p__	p__Proteobacteria
G000286075	p__	p__Terrabacteria_group
G000170915	p__	p__Proteobacteria
G000196855	p__	p__Terrabacteria_group
G900129925	p__	p__Terrabacteria_group
G000723585	p__	p__Terrabacteria_group
G000477935	p__	p__Terrabacteria_group
G000708885	p__	p__Terrabacteria_group
G000269945	p__	p__Terrabacteria_group
G000184685	p__	p__Terrabacteria_group
G000504165	p__	p__Terrabacteria_group
G001657475	p__	p__Terrabacteria_group
G001780165	p__	p__Candidatus_Eisenbacteria
G000711225	p__	p__Proteobacteria
G900099695	p__	p__Proteobacteria
G001799505	p__	p__Proteobacteria
G000429825	p__	p__Terrabacteria_group
G000694955	p__	p__Proteobacteria
G000154285	p__	p__Terrabacteria_group
G000934545	p__	p__Proteobacteria
G000219105	p__	p__Proteobacteria
G001641285	p__	p__Proteobacteria
G000215745	p__	p__Proteobacteria
G000820505	p__	p__Proteobacteria
G000433155	p__	p__Terrabacteria_group
G000422245	p__	p__Proteobacteria
G000735515	p__	p__Proteobacteria
G000411555	p__	p__Terrabacteria_group
G000220505	p__	p__Proteobacteria
G900142455	p__	p__FCB_group
G000496435	p__	p__Terrabacteria_group
G000378405	p__	p__Proteobacteria
G000626675	p__	p__Terrabacteria_group
G000821265	p__	p__Terrabacteria_group
G001808185	p__	p__Proteobacteria
G000620685	p__	p__Proteobacteria
G000425065	p__	p__Terrabacteria_group
G900128965	p__	p__Terrabacteria_group
G000526915	p__	p__Terrabacteria_group
G000340565	p__	p__Terrabacteria_group
G000285555	p__	p__Terrabacteria_group
G000152725	p__	p__Proteobacteria
G001918165	p__	p__Proteobacteria
G001587635	p__	p__Stenosarchaea_group
G001070095	p__	p__Terrabacteria_group
G000746095	p__	p__Proteobacteria
G000745265	p__	p__Proteobacteria
G001513785	p__	p__Proteobacteria
G001571285	p__	p__Proteobacteria
G001866985	p__	p__Terrabacteria_group
G001656125	p__	p__Proteobacteria
G000427885	p__	p__Terrabacteria_group
G000305785	p__	p__Proteobacteria
G000177235	p__	p__Terrabacteria_group
G000376245	p__	p__Terrabacteria_group
G000635455	p__	p__Terrabacteria_group
G000188055	p__	p__Terrabacteria_group
G001510135	p__	p__Proteobacteria
G001778285	p__	p__Parcubacteria_group
G900016865	p__	p__Terrabacteria_group
G000092365	p__	p__Terrabacteria_group
G000063525	p__	p__Terrabacteria_group
G001796685	p__	p__Terrabacteria_group
G000291295	p__	p__Terrabacteria_group
G000298175	p__	p__Terrabacteria_group
G000376645	p__	p__Proteobacteria
G000497815	p__	p__Terrabacteria_group
G001434395	p__	p__Terrabacteria_group
G000338055	p__	p__Terrabacteria_group
G000974445	p__	p__Terrabacteria_group
G001791195	p__	p__Parcubacteria_group
G000745125	p__	p__Terrabacteria_group
G000183585	p__	p__Terrabacteria_group
G001280565	p__	p__Terrabacteria_group
G000518185	p__	p__Proteobacteria
G000369145	p__	p__Proteobacteria
G001189535	p__	p__Terrabacteria_group
G001746425	p__	p__Terrabacteria_group
G000284115	p__	p__PVC_group
G000737845	p__	p__Terrabacteria_group
G000615805	p__	p__Terrabacteria_group
G000155715	p__	p__Proteobacteria
G000283235	p__	p__Proteobacteria
G000024385	p__	p__Terrabacteria_group
G001941135	p__	p__Terrabacteria_group
G000300115	p__	p__Terrabacteria_group
G001462245	p__	p__FCB_group
G001783015	p__	p__Parcubacteria_group
G001439635	p__	p__Terrabacteria_group
G000725165	p__	p__Proteobacteria
G000008345	p__	p__Terrabacteria_group
G000372165	p__	p__Terrabacteria_group
G900108995	p__	p__Terrabacteria_group
G000195205	p__	p__Proteobacteria
G000021385	p__	p__Proteobacteria
G000735585	p__	p__Proteobacteria
G000583695	p__	p__Terrabacteria_group
G002003465	p__	p__Terrabacteria_group
G001578205	p__	p__Terrabacteria_group
G000632985	p__	p__Proteobacteria
G001433915	p__	p__Terrabacteria_group
G000470775	p__	p__Terrabacteria_group
G000620145	p__	p__Proteobacteria
G000307855	p__	p__Terrabacteria_group
G000745975	p__	p__Proteobacteria
